country,color
A4NH,#8dd3c7
AfricaRice,#ffffb3
Bioversity International,#bebada
CCAFS,#fb8072
CGIAR,#80b1d3
CGIAR Center,#fdb462
CGIAR Fellowship,#b3de69
CGIAR Office,#fccde5
CIAT,#d9d9d9
CIFOR,#bc80bd
CIMMYT,#ccebc5
CIP,#ffed6f
CP,#8dd3c7
CPWF,#ffffb3
Consortium,#bebada
GCP,#fb8072
GCp,#80b1d3
HarvestPlus,#fdb462
ICARDA,#b3de69
ICRAF,#fccde5
ICRISAT,#d9d9d9
IEA,#bc80bd
IFPRI,#ccebc5
IITA,#ffed6f
ILCI,#8dd3c7
ILRI,#ffffb3
IRRI,#bebada
ISPC,#fb8072
IWMI,#80b1d3
PPRG,#fdb462
PRG,#b3de69
PRGA,#fccde5
RTB,#d9d9d9
SLP,#bc80bd
SPIA,#ccebc5
SWLP,#ffed6f
Science Council,#8dd3c7
TAC,#ffffb3
WLE,#bebada
WorldFish,#fb8072
Non-CGIAR,#999999
